Document	psif
An AO found a Circuit switcher insulator broken off a Transformer Cap bank structure.	nonsif
The AO with the direction of TSO isolated the equipment.	nonsif
While walking away after the meeting with Purchasing we left their office building.	nonsif
An electrical cord was between doors without fi a wooden protector.	nonsif
Inform my team to be alert for issues like this.	nonsif
Part of mini session E next week.	nonsif
dept Job chassis Fem.	nonsif
Hi lo Supervisor Mikhail Gazaryan.	nonsif
The takeaway conveyor did not line up with the overhead conveyor.	nonsif
An incumbent Reader of years reported to work with a non ComEd logo cap.	nonsif
The lighting in the plant manager office is inadequate.	nonsif
The metal cover over the Sheffield Cutter s controls.	nonsif
in the Mezzanine has openings allowing access to electrical wiring and potential shock hazards.	nonsif
Back hoe Operator was digging out discharge flange on the A Pit Pump.	nonsif
oil pumps that are located on the gun sled.	nonsif
TDC PRI Aged DSOC Replace L Circuit Switcher TDC.	nonsif
This is an Aged DSOC and was not properly planned resourced.	nonsif
EE was repairing replacing sheet metal at dock with a hammer and chisel.	nonsif
Sliver of metal inbedded under the skin.	nonsif
EE had laceration to thumb.	nonsif
The shore slipped and pinched the EE thumb on right hand.	nonsif
Desencubado Transformador de potencia Ercros Sabianigo Booster disassembly operations.	nonsif
Moving a giant part from a storage rack and putting it in a machine.	nonsif
Same job ALL day.	nonsif
When the interlock reset the truck started to roll.	nonsif
The driver climbed approximately halfway down the ladder and jumped to the ground.	nonsif
Driver failed to follow procedure.	nonsif
The operator took his locks off the brakes and turned the air back on.	nonsif
Right elbow pain hrs ago.	nonsif
Used an lb hammer days ago and pain throughout the day.	nonsif
Began bowling weeks ago.	nonsif
Observed on customer package having a sampling bottle that they use mineral bottle.	nonsif
May cause illness if contaminated Water present.	nonsif
The job I m doing is causing a lot of pain in my shoulder.	nonsif
EE was tied off at the time and his fall was arrested.	nonsif
Conducted safety talk in Engineering on Utility knife safety.	nonsif
This condition can result in damaging the cable.	nonsif
They stopped the job and informed opes of the issue.	nonsif
Proactive Procedure Could not think of a direct work related item.	nonsif
Splinter in finger from underneath desk.	nonsif
Employee tripped over large cardboard tube laying behind assembly station.	nonsif
Site has recently started up housekeeping and storage not finalized.	nonsif
Office work on PC data inputing.	nonsif
A fork truck moving exterior wall supports bents for the Water Treatment building.	nonsif
When a few slide off of the end of the forks.	nonsif
This incident would not have accrued.	nonsif
A safety stand down will take place today.	nonsif
Mapping change During a Cable fault on Z at th cottage.	nonsif
the fault was located in the park at two MHs and.	nonsif
EE put piece on top of van could nt locate the piece.	nonsif
When I stretched my arm to dot the fifth wheel.	nonsif
I felt a picket in my left arm.	nonsif
The employee was removing a cake from the carrier to the end finding table.	nonsif
tip grind operation machining.	nonsif
The crane was in default during the night shift.	nonsif
The winterization tarps made it very difficult for the other driver to see me.	nonsif
The other driver needs to have a spotter in this situation.	nonsif
good job to watch others.	nonsif
Haz chemical stored outside next to CT without secondary containment.	nonsif
Incomplete DVIR Books.	nonsif
This has been communicated with the work group previously.	nonsif
The expectation is to have the books completed properly each day and each month.	nonsif
Fork Lift Operators taking proper measures during driving lifting.	nonsif
The following morning.	nonsif
The lowest communications conductor which crossed the alley was.	nonsif
Fleet is investigating this issue in conjunction with the safety features on this vehicle.	nonsif
The crew reported they were traveling at approximately MPH.	nonsif
The crew initially believed they had been struck from behind.	nonsif
Placement of th floor NW first aid kit.	nonsif
cleaning new componants cleaning operations.	nonsif
There is a NO EXIT sign locateed on the mens bathroom door.	nonsif
This was a good question brought up by employee.	nonsif
ASSIGNED TO INSTALL.	nonsif
The following safety suggestion was brought up in the MOC team meeting.	nonsif
the suggestion is as follows.	nonsif
Investigate Lunar Installation process.	nonsif
Can we use the PMI s.	nonsif
OE was coached and he accepted the coaching.	nonsif
OE s DVIR book was up to date and truck was neat.	nonsif
I walked off the line to retrieve next wire needed.	nonsif
stepped over big trash receptacle and by another bin reached up to get wire.	nonsif
On I was involved in an accident with the company van.	nonsif
I was in O Fallon MO making sales calls.	nonsif
I was stopped at a red light in the right turn lane.	nonsif
There was nothing I could do to avoid this accident.	nonsif
Our irrigation system is missing a replacement cover Evaluate fabricated cover closed.	nonsif
Table release and trapped right forearm.	nonsif
FE Completed LOTO CEP course.	nonsif
Labels on manual control panel for BDM transfer arms not legible.	nonsif
Many labels have faded for multiple controls.	nonsif
Coached him on site.	nonsif
I was assisting an employee with the lift gate striker.	nonsif
I told my supervisor of the injury around am.	nonsif
I went home and put a heating pad on my hand.	nonsif
Then I soaked it before work but pain and swelling persist.	nonsif
COTE dIVOIRE Inadequate supervision housekeeping and inspection.	nonsif
As they proceeded to the meters a dog began to charge the read.	nonsif
Production associate received a small cut on right thumb while handling a part.	nonsif
OPM check list not being performed by the operator Machine GEM PE PNZ machining.	nonsif
Material blocking aisle at Bay A.	nonsif
using Questioning attitude and STAR On the Morning of April th.	nonsif
It was immediately apparent that A phase was not tied.	nonsif
Always use good condition electrical cords Always use good condition electrical cords.	nonsif
SCADA STATIC ONE LINES NOT ACCURATE.	nonsif
There was no one injured and no property damage from the event.	nonsif
Only one HV main beam had fell to the floor.	nonsif
Jib Crane in on beam A in specials area needs a brake rebuild.	nonsif
Brakes are at the end of their useful life.	nonsif
Lifting wire harnesses to car.	nonsif
States he pulled a lever to open an overhead vent.	nonsif
The lever fell and hit his left upper lip.	nonsif
The procedure to put in place a relay grounding system was not correctly applied.	nonsif
Spring in the inside of the preform area needs to be moved.	nonsif
In the compressor room there s red oil on the floor it very slippery.	nonsif
Pharmacy Manager was breaking pigs at the hot waste area.	nonsif
While moving ladder hit piping overhead and batch dust fell in eye.	nonsif
Was wearing safety glasses at the time.	nonsif
Employee felt dizzy and light headed when working in the shop on.	nonsif
This employee was not working around any fumes or chemicals.	nonsif
He was wearing a dust mask for the dust exposure outside.	nonsif
Employee was terminated on due to his attendance record.	nonsif
The day shift DSD reviewed the work and noticed an issue.	nonsif
Also portable field grounds were requested at both disconnects.	nonsif
The paperwork was Independently Reviewed and placed in the work bin.	nonsif
The night shift SDSD performed a final review of the jobs.	nonsif
ComEd submitted incorrect Disposal Site and Transporter numbers on the Annual Report.	nonsif
A hood fell on my fingers.	nonsif
I was holding flare in place while repairman fix bottom fascia.	nonsif
The operator on the hood slammed too hard while hand was on fender.	nonsif
The Door to the clean room does not seem to clsoe properly.	nonsif
He stuck his foot against the mandrel to remove the mat.	nonsif
Cattleman had formed a double gate latch out of barbed wire.	nonsif
Scrubber lock box was accidentally dropped.	nonsif
A mechanics lock broke off while mechanic was still out in the plant.	nonsif
vehicle non operational.	nonsif
The wearing PPE helmet at the site is regulatory.	nonsif
Testing zinc wash before release to effluent chemical production operations.	nonsif
on the old wire insulation.	nonsif
The water source that attaches to the parts washer carts do not attach properly.	nonsif
EE states had been climbing into and out of the van before this.	nonsif
Small piece of metal was embedded in cloth rag.	nonsif
The employee was seen by the plant nurse.	nonsif
The employee told the nurse that she felt find and was okay.	nonsif
They were very loose.	nonsif
brackets were not installed properly.	nonsif
Air conditioning unit leaked onto some electricl equipment.	nonsif
Potentially causing damage fusing of thermostate on a HPLC unit.	nonsif
Poked finger on the seat bracket.	nonsif
stopped developer from digging without locates.	nonsif
Pulling the electrode out of the channel.	nonsif
I was loading dunnage trays onto my cart to make a run.	nonsif
I dropped the top layer of empties on my foot when moving it.	nonsif
EXPOSED TO POSSIBLE DRAIGE WATER.	nonsif
FEET CONSTANTLY WET.	nonsif
DEVELOPED RASH ON FEET.	nonsif
The blood was returned to the pharmacy with the provided labels.	nonsif
need exhaust fan for soldering on line.	nonsif
EE began to feel pain in his left hand after performing his regular duties.	nonsif
Noticed container is slanting towards right side.	nonsif
Closer inspection reveals the empty container fails to be sitting securely on the trailer.	nonsif
There is points of locking the container to trailer only points are secured.	nonsif
th point unable to lock the container as it s not placed properly.	nonsif
Risk of container to topple or crash down to trailer when loading.	nonsif
Risk of injury to driver if container topple.	nonsif
Attaching photo for reference.	nonsif
Container to be send back for repair works.	nonsif
Driver are advised to visual inspect the container before trucking in out.	nonsif
EE indicates pain has been getting worse.	nonsif
Performed a ergonomic assessment of employees set up.	nonsif
Attributes pain to continuously turning steering wheel on lift truck causing pain in lt.	nonsif
Failed to have umbrella in hand when entering a yard.	nonsif
C turning gear room westside and eastside lighting were both out of order.	nonsif
create work order no to close it.	nonsif
while doing vin etch dust falling from overhead got in my eye.	nonsif
Found out the wrong gas was put in the machine.	nonsif
They called the plant operations to notify they put the wrong gas in.	nonsif
Went out side to got some fresh air and started to feel better.	nonsif
On Thursday they filed a incident report with the hospital.	nonsif
The hopital is conducitng their own report.	nonsif
Employee did report incident to the hospital.	nonsif
Hopital is conducting their own investigationon why the mix up with the bottles.	nonsif
Employee counseled not to go back into the room when a hazard is present.	nonsif
The adecco employee was to report the incident again to adecco.	nonsif
Techs said the indicator were turning blue.	nonsif
He left a message last week but never got a call back.	nonsif
There was a gas mixture that came from the opening.	nonsif
They left the room for minutes and came back with surgical mask on.	nonsif
Finished putting the glue on the porter hole seal.	nonsif
Left the room for a hours and came back around pm.	nonsif
They tech pulled the manual and looked at the specs.	nonsif
EE puts sealer in doors.	nonsif
Hand went numb and tingly.	nonsif
Kept working for minutes but holding the gun bothered his RD.	nonsif
Tingling less on leaving MC.	nonsif
Good Catch Cable Jacket Damaged TSS AUX Transformers Good Catch.	nonsif
It had been damaged by the conduit it was sitting in.	nonsif
Job Breif not signed by vendor employee was observed while using insite program.	nonsif
Vendor did not read and sign brief.	nonsif
Stopped and had vendor read and sign brief.	nonsif
Employee worked full shift loading rolls onto pallets.	nonsif
He claims this caused his wrist to hurt.	nonsif
I had to use a lot of force while pulling upward on the handle.	nonsif
The Miami Police where called and arrived at the seen a short time later.	nonsif
Job site was on a grassy area that was frozen over with snow.	nonsif
Footing would hampered some by snow but crews all had proper foot wear.	nonsif
Crew was drilling new hole for pole using rear lot cart.	nonsif
Checked DVIR books on trucks at site.	nonsif
All were filled out properly.	nonsif
All crew members were wearing HiViz vests.	nonsif
One crew member had a leather glove that was splitting along the seam.	nonsif
All proper PPE worn for task.	nonsif
I asked him to change it out and he did for a new pair.	nonsif
Crew did good job cutting up and removing old pole.	nonsif
Checked slings prior to usage.	nonsif
Work area housekeeping was acceptable.	nonsif
Crew was knowlegable of work scope and were engaged in the work process.	nonsif
Crew left job site better than found.	nonsif
Job brief discussed key questions in detail.	nonsif
It also covered trip hazards under snow.	nonsif
Employee was changing the bisect blade on C.	nonsif
Bleeding glycol trace lines.	nonsif
pack off hypo chemical production operations.	nonsif
Worker was walking in the furnace room and tripped on the rock.	nonsif
When the operator was loading goods onto container using electric forklift.	nonsif
Reader assisted customer until EMS arrived.	nonsif
The employee contacted and reached out to their supervisor to report the incident.	nonsif
Employee was walking out of the warehouse and fell on ice.	nonsif
Results shutdown of the equipements.	nonsif
EE was asked about treatment but did nt feel it was necessary.	nonsif
On Monday and Tuesday the EE did not show to work or call in.	nonsif
EE was evaluated at occupational clinic and released to full duty.	nonsif
MECHANICS ASSIGNED THE JOB OF REPLACING THE GREASE INJECTOR BLOCK ON PRIM.	nonsif
VIB SCREENSAFE WORK PERMIT WAS FILLED OUT PROPERLYWORK GROUP REP.	nonsif
WENT WITH ASSIST.	nonsif
WASHER OPERATOR TO LOCK OUT THE SCREEN.	nonsif
MECHANICS THEN WENT UP TO THE SCREEN TRIED THE FIELD SWITCH THE SCREEN STARTED.	nonsif
NonPreventable NonReportable Release.	nonsif
On Gradall Crew discovered leaking United Rentals Gradall during preFlight Inspection of equipment.	nonsif
All operations were halted and emergency containment efforts commenced.	nonsif
Good inspection during operation and Pre Flight contributed to quick catch and containment.	nonsif
LOUISIA Replaced the tool bag.	nonsif
Replaced the tool bag.	nonsif
Employee cleaned mess cabin.	nonsif
Keep rest cabins clean.	nonsif
Sharp metal object protrueding from corner of wall into hallway.	nonsif
Employee caught hand between wings of double doors.	nonsif
Personnel walking through the area almost fell into the manhole.	nonsif
The third party contractor was stopped and asked to barricade the manhole area.	nonsif
The area was barricaded and they resumed their activities.	nonsif
The HH mechanic remained conscious and was helped up by the Intren lineman.	nonsif
At that point the HH mechanic was resting against the tire of the Gradall.	nonsif
When he straightened up to walk he fainted.	nonsif
Employee did nt follow tag system and verify scaffolding was green tagged before use.	nonsif
employee felt weak and fell to knees.	nonsif
A contributing factor could have been the strong wind blowing at the time.	nonsif
The Comed vehicle drivers did not notice the condition until it was too late.	nonsif
He did not see the second Comed vehicle come up behind him.	nonsif
He stated that he was going to close the gate.	nonsif
That is when the driver of the second vehicle saw the gate closing.	nonsif
The fitting began leaking bleach.	nonsif
Luckily there was no chemical exposure.	nonsif
Fiberglass Mylar kanban cart was overloaded on top shelf.	nonsif
Cones were set up around trucks and around the trailers.	nonsif
Wheel chocks were also utilized.	nonsif
I asked the CL to change his FR sweatshirt due to holes in it.	nonsif
Bore machine was set up properly grounded and had cones around it.	nonsif
All members were wearing appropriate PPE for tasks.	nonsif
New tighter fitting safety glasses provided on site UNITED KINGDOM Positive Observations.	nonsif
S EE enters medical with metal Sliver in RIF.	nonsif
EE states I had a splinter go thru my right glove.	nonsif
Body Part Head Facial Area Department UNKNOWN.	nonsif
Contusion Head Walking into kitchen to get coffee.	nonsif
Employee was working on a CT tube change.	nonsif
Utilize nd person when performing this task.	nonsif
Employee backed fork truck up to charger stepped off to connect to charger.	nonsif
Employee piched right hip between guard rail and fork truck.	nonsif
When employee let go of throttle truck moved forward releasing leg.	nonsif
Need to review JSA with all employees who charge trucks.	nonsif
Discuss how to prevent in future.	nonsif
Review charging area set up.	nonsif
Engineering Tech removed X ray tube from gantry and left it on rolling chair.	nonsif
It was later noticed by a Bay Tech who informed the shift GL.	nonsif
IP strained back lifting carboy.	nonsif
Employee exited the cab of his equipment and something blew in his eye.	nonsif
The employee was wearing his safety glasses at the time.	nonsif
The employee s eye was flushed and the irritation was cleared.	nonsif
Water covered the entire floor.	nonsif
CN Rear Ended by Public Vehicle at Red Light.	nonsif
While en route the tech was rear ended while stopped at a red light.	nonsif
There was damage to both rear doors and passenger side rear window.	nonsif
Both the tech and civilian pulled over and exchanged information.	nonsif
When accommodating the material box the roller elevator goes up and catches my hand.	nonsif
From HSV Zone R D Labs GA labs GSC first floor.	nonsif
slipped on walk ramp fell forward after left foot slipped.	nonsif
The reader then saw that the gate to that premise was partially open.	nonsif
He locked eyes with the dog and it started to run towards the gate.	nonsif
The dog did not make contact with the reader or the umbrella.	nonsif
Purchase additional signage.	nonsif
Sign received and given to Group Leader.	nonsif
Magnetic tape to be used.	nonsif
the pole was not in good shape.	nonsif
Work related lost workday incident.	nonsif
Fire alarm activation Electronics drift from smoke detector causing transient excursion into fire range.	nonsif
Testing laboratory operations.	nonsif
Vehicle Doors Unlocked Briefs Face.	nonsif
Warning sign for overhead pipes requested.	nonsif
The employee reported to safety with irritation to his eyes nose and lungs.	nonsif
EE in with sliver to Rt middle finger at PIP joint.	nonsif
EE job brake line tie down exp year.	nonsif
EE uses gun to tie to brake hose and steering shaft.	nonsif
injury occurred at pm.	nonsif
Supervisor Mike DiGiovanni.	nonsif
my right hand started to go numb too.	nonsif
Also my right hand started to go num.	nonsif
Job brief was missing address and dig ticket number.	nonsif
Brief was filled out by foreman Ken Lambke who was not onsite today.	nonsif
WAP signage was not present.	nonsif
All crew members wore proper PPE.	nonsif
Crew had spill response kit first aid kit and burn gel kit readily available.	nonsif
No other deviations were found.	nonsif
Employee was machining a bearing on the nd VTL.	nonsif
On July employee reported pain and numbness to GEHC Medical staff.	nonsif
Preliminary diagnose of CTS was given in October of.	nonsif
Employee relates problem to years of being an FE mostly using small screwdrivers repetitively.	nonsif
Interview employee to identify other potential risks.	nonsif
Ensure medical treatment consistent with symptoms.	nonsif
Employee was cleaning up after a shingle catcher jam.	nonsif
Dept zone supervisor Matt Job.	nonsif
Rear seat cushion secure been over a year on this job.	nonsif
Job involves bending and twisting to secure the rear seat cushion.	nonsif
Tonight he felt a painful twinge in his lower back.	nonsif
Damage was reported on day shift by a float gang equipment operator.	nonsif
This area had a of drop.	nonsif
Draining out caustic tank and noticed burning sensation on Right arm after cleaning tank.	nonsif
Associate reported putting new contacts in Thursday AM.	nonsif
Associate complained of eye irritation originally thought to be due to a torn contact.	nonsif
She removed her contacts and went to see her own eye doctor.	nonsif
Employee was replacing the buckets in F elevator.	nonsif
The batch gets on your arms and wrist and cause batch burns.	nonsif
No wetlands streams or ponds were located near this site.	nonsif
The fuel tank was damaged on August while returning from a job site.	nonsif
The mechanic was on site and immediately inspected the truck.	nonsif
The mechanic identified broken tank brackets but did not identify a leaking fuel tank.	nonsif
No further communication between the inspector mechanic and the general foreperson occurred.	nonsif
Wayne located at W Stearns Road Bartlett Illinois.	nonsif
The truck was damaged on August.	nonsif
It is estimated that gallons of fuel were spent during this time.	nonsif
It is estimated gallons leaked onto the ground.	nonsif
No fuel was actively leaking onto the ground.	nonsif
The OCC and ComEd Environmental were notified.	nonsif
Absorbent pads were placed beneath the fuel tank as a precaution against further leaking.	nonsif
ComEd s environmental spill contractor has been engaged for cleanup.	nonsif
Asked safty to put warning signs all around Area barriciaded.	nonsif
CANCELED SWITCHING SRS was canceled because there was an issue with the ZOP.	nonsif
WORK AREA PROTECTION adjusted CREW WAS ONSITE TO REPLACE BROKEN POLE FROM CAR ACCIDENT.	nonsif
CREW HAD TRUCK ON POLE AND WAS DIGGING NEW HOLE.	nonsif
CREWS HAD GOOD WAP BUT CUSTOMERS.	nonsif
KEPT DRIVING AROUND CONES SO THE AREA WAS TAPED OFF.	nonsif
ALL CREW MEMBERS HAD ON REQUIRED PPE.	nonsif
Vehicle Damage from falling tree branch.	nonsif
At approximately hrs an Elgin AMI Technician operating vehicle number was parked at.	nonsif
West Jackson in Woodstock IL to perform a Smart Meter Installation.	nonsif
Fracture to right shoulder and contusion to the top of the forehead.	nonsif
BOOM STRAP NOT INSTALLED ON NEW TRUCK NEW TRUCK REPLACED TRUCK.	nonsif
WHERE DOES IT GO AND WHO IS RESPONSIBLE FOR INSTALLING.	nonsif
The employee looked and saw a hot raw glass bead protruding from his finger.	nonsif
ROC reader had both boots untied after job brief.	nonsif
After the job brief a Rockford reader was observed with both work boots untied.	nonsif
The supervisor reiterated the expectation that the boots should be properly laced and tied.	nonsif
Opening cardboard boxes shipping receiving.	nonsif
Noel Alaire went to see his doctor regarding chipped and broken fingernails.	nonsif
His doctor suggested that his condition is work related.	nonsif
OE needed Hi Viz Vest.	nonsif
While hooking up trailer to a line truck employee was not wearing HiViz Vest.	nonsif
I was putting my parts on the table.	nonsif
Oes inspected switch everything looked ok.	nonsif
Oes proceed to operate switch while wearing all proper PPE Switch operated normal.	nonsif
is a member of the safety committee.	nonsif
Worker states he was running to get back to his workstation.	nonsif
States his coveralls were tied around his waist.	nonsif
States he was carrying bag in one hand and other hand in his pocket.	nonsif
Hit his chin on floor causing laceration.	nonsif
Traffic control sign not visible enough.	nonsif
The meeting started in the intersection of two streets where the pole line runs.	nonsif
afvullen bulk RM in IBC loading unloading.	nonsif
Employee received a little shock while unplugging a computer in the label room.	nonsif
Interviewed employee that was shocked to obtain details.	nonsif
Employee has a binder rash.	nonsif
Employee tried to clear jammed staples from a hammer stapler.	nonsif
Anticollision mirrors are needed in the hallways and by the kitchen break areas.	nonsif
There have been many near miss run ins.	nonsif
bolts protruding from floor in front of water tanks.	nonsif
Rotor bay items arranged nicely within aisles.	nonsif
Protuding items have safety barrier installed housekeeping.	nonsif
Courier was unwrapping sterile TB syringes cc for st run use.	nonsif
She peeled open the syringe and went to tighten the needle as normal.	nonsif
The needle had no needle cap.	nonsif
She stuck herself on the middle finger of her left hand.	nonsif
No Blood appeared at the needle stick site.	nonsif
The coffee pots were left on the hot plates and they all were burned.	nonsif
Steam blew into the office the space is only about sq ft.	nonsif
The space was filling with steam.	nonsif
We then exited the space and secured the door to let the steam dissipate.	nonsif
Facilities personnel disable the fire sprinkler to minimize any further damage.	nonsif
Prior to exiting the space the windows where opened to help evacuate the steam.	nonsif
This work occurred over a week ago.	nonsif
Strand machine guard lost air pressure and suddenly dropped down contacting EEs hardhat.	nonsif
Hammer slipped off of the key and pinched Jeff arm against the lathe.	nonsif
Develop new tool to tighten and loosen chuck Brian Mezera.	nonsif
Check to determine if we are over tighten the chuck Brian Mezera.	nonsif
Jochax Safety glasses.	nonsif
Lime in the floor can cause falls.	nonsif
S EE enters medical with Contusion Abrasion to Right eyebrow.	nonsif
Just aching when I left felt good Sun Tue.	nonsif
Wednesday tag relieving it went back to hurting again.	nonsif
Later today I pick up C Pillar and it hurts.	nonsif
TA found hole for the pulling chambers did not contain covers.	nonsif
customer apply TA advice.	nonsif
LOTO must be applied at all times.	nonsif
The observed situation indicates that the contractors were working on a.	nonsif
The concern has been addressed.	nonsif
Employee was working in the Hotend area of the plant.	nonsif
He was using an air lance to clean off the forming flights.	nonsif
Employee reported discomfort in shoulders due to overhead work.	nonsif
While crew was working in the field a strong storm approached in the distance.	nonsif
The crew stopped working and took shelter in their vehicle while the storm passed.	nonsif
The team had tasks to complete.	nonsif
We had adherence jobs in that schedule.	nonsif
We assisted Chicago South with person crews and OES throughout the night.	nonsif
For the weekend we had a different FLS covering all days.	nonsif
In greenway Between LC Parking Gauagre and Lot.	nonsif
This is a tripping hazard.	nonsif
They will be reinstated when the operation is transferred to B standard cell.	nonsif
They had to remove the blades to get it from under the deck.	nonsif
Risk of flooding building and personal safety.	nonsif
The worker was using safety glasses.	nonsif
Site security plan communication.	nonsif
Raw glass was falling from bushing when it came in contact with employees glove.	nonsif
LRP for ITN Manhole Refurb.	nonsif
Assessments continued until June of the final month of EIMA.	nonsif
The M was not included in LRP for the following reasons.	nonsif
No internal offset could be provided to fund the work.	nonsif
Manhole Refurbishment was not appropriately quantified in the LRP.	nonsif
The preliminary budget request during LRP included M in total funding.	nonsif
Arcproofing scope was a large contributor to this.	nonsif
Scope discovered late in the program.	nonsif
Adams building out the assembly operations.	nonsif
While checking the area east of the east washer trommel screens.	nonsif
AMI Equipment Failure.	nonsif
He backed up to correct the issue and then reentered the aisle.	nonsif
Cat bit employee s hand.	nonsif
in AA when trailers connected to tugger I was delivering to RDF Rack.	nonsif
Pierce over the past few months.	nonsif
The annual monthly average limits have not been exceeded at this time.	nonsif
Employee was changing the die board on the die press.	nonsif
He sat down and tried to relax and waited until the stiffness eased.	nonsif
He moved his back to try and ease the tightness.	nonsif
EE continues to experience lower back pain and tightness in certain positions.	nonsif
The main casters were not aligned.	nonsif
Instructed employees in area on proper housekeeping methods.	nonsif
He had been in bed recuperating for at least days during this time.	nonsif
He was attempting to access the storage cabinet in the repair center.	nonsif
This was an older mainframe without steering.	nonsif
Job title rd row seat secure x week floater.	nonsif
water inside wrapper closed.	nonsif
Tractor operator building road into page pit after pit move was completed.	nonsif
Cable was flagged but not at the loop which was under the water.	nonsif
Employee threw the disconnect on the upper hydraulic package at the washer.	nonsif
Two BGGTS workers were in Liner work station without wearing safety glasses.	nonsif
back of left hand rubbed against sharp edge of stainless steel flat bar.	nonsif
Employee was removing tie wraps from stainless steel flat bar.	nonsif
The oldest shipments should be completely depleted prior to utilizing a newer shipment.	nonsif
These meters were from Sprint instead of Verizon and had not yet been activated.	nonsif
EE is dismantling the governer with out cut resistance gloves.	nonsif
OES Identifies broken cutout.	nonsif
While making repairs to OH service OES identified a Broken Cutout.	nonsif
Employee was cleaning ladle shroud holder with torch.	nonsif
Difficulty in measuring the filament resistance inside the HV wellsNeed lengthier multimeter probes.	nonsif
water pump Employee cut hand while tightening bolt behind water pump.	nonsif
Bigger engine bottom snag holder causing hydraulic shift to be stronger than usual.	nonsif
It put a major strain on my left shoulder in the back.	nonsif
Then the following business day puts out a regular dig ticket.	nonsif
An ER ticket has to be located with in two hours.	nonsif
the Crew has to be onsite.	nonsif
For example a ER request received s Hamlin CN dates.	nonsif
then a regular ticket on the will also be received.	nonsif
could have hit someone if in the area.	nonsif
During the lift he strained something in his back.	nonsif
I opened the car door to put tape inside the doors.	nonsif
While the door was stopped but once it moved it and hit my hand.	nonsif
I was picking up a load from Tower Auto to take to JP.	nonsif
They did not salt walk way.	nonsif
The three EE were approximately meters away from the Bolt that being removed.	nonsif
No one was injured during the occurrence of the said incident.	nonsif
Lack of general guidelines checklist for preinspection of hydraulic jack.	nonsif
No evidence of hose inspection.	nonsif
AC System not function proper in Gantry Room Room temp.	nonsif
high and working area not cleanReported Date April.	nonsif
Ensure latch is in proper working conduction upon completion.	nonsif
Brian Greenslade welded the handle back on.	nonsif
Latch is now in good working condition.	nonsif
Employee was called out to do some tractor work for DL.	nonsif
Pelado y lijado de una barra para comprobar la pletina nonspecific site activity.	nonsif
onset of lower back pain on Nov approx.	nonsif
After the scaffold work was done it was continued.	nonsif
No damage to ComEd vehicle and no other vehicles involved.	nonsif
A gallon of alcohol was returned from an outage to the TC.	nonsif
Procedure is that no chemical should be return to the Tooling Centers.	nonsif
Site was informed of the chemical return Chemical return policy was reinforced.	nonsif
Employee was unboxing an item.	nonsif
Ergonomics table not able to rise or be lowered by operator.	nonsif
employee injured his arm while handling material.	nonsif
debris left in walk path.	nonsif
The drills are old and slow and they need to be faster.	nonsif
I have to install AC Lines by using two poles and Nuts.	nonsif
to put on engines.	nonsif
Its was a freak accident.	nonsif
On job A Post L L.	nonsif
Pulling metal hook it slipped and hook hit her finger against the bin.	nonsif
Develop Run Reports.	nonsif
A storm has broken off big branches from trees that blocked partially the road.	nonsif
Operatives in the work area not wearing safety glasses.	nonsif
Load unload matl eqp.	nonsif
Inspection of Oxygen Plant Intercoolers inspecting.	nonsif
The bite area turned black and became infected weeks later.	nonsif
The treating HCP believed it could be a brown recluse spider bite.	nonsif
While riding in truck I felt something crawling on the top of my head.	nonsif
I took off my cap and removed a tick.	nonsif
Nothing should be in the red isles for an extended period of time.	nonsif
He tried to force it in by angling and pulling it in different directions.	nonsif
Afterwards he felt a dull pain in his upper left side of his back.	nonsif
Putting doors on by hand to help a line stoppage.	nonsif
A door catches fingers unbalanced placement.	nonsif
Employee was cutting bolts with a torch.	nonsif
These bolts were holding a X cover over the hoist.	nonsif
Operators moving diaphragm into weld booth lifting.	nonsif
Do we have all new constraction approvals.	nonsif
fire department ISO.	nonsif
Airline hose has two small hairline nicks in testing repair replace closed.	nonsif
Effective communication with workers regarding this issue and not happen again.	nonsif
Over the last couple of weeks my hands have been getting sore.	nonsif
Most of the pain is in my joints and they are getting bigger.	nonsif
Removal of L buckets from rotor with use of peening hammer.	nonsif
Taking a crust depth check on B melter when dust blew in his eye.	nonsif
employee was welding on a bearing holder welding.	nonsif
Contractor with expired Pesticide License One Asplundh Tree crew was audited.	nonsif
All shortcoming noted above were addressed with ATE leadership both in writing and verbally.	nonsif
No unsafe acts or improper work practices were observed during the crews work.	nonsif
Working as blonder from hours april to hours April.	nonsif
Confirmed and labeledWO.	nonsif
i think they neeed to be filled in.	nonsif
Preoccupied on site.	nonsif
The unit was being used.	nonsif
Not wearing proper PPE safety glasses on shop floor nonspecific site activity.	nonsif
Vehicle Fire Electrical Short.	nonsif
The log loading truck was parked at th Ave.	nonsif
in Belvidere with one employee the operator was working on midcycle clean up.	nonsif
The operator was loading logs and observed smoke in the engine area.	nonsif
The individual reports that he was stripping a vacuum pump in the void.	nonsif
Minor first aid administered.	nonsif
Access is now limited to a two person activity operation.	nonsif
Bump hard hats are worn in this area at all times.	nonsif
The crew leader had his lead lineman present the job brief.	nonsif
The brief identified tasks and responsibilities.	nonsif
All members knew their role and performed tasks without incident.	nonsif
All the proper PPE was worn and WAP was utilized correctly.	nonsif
Mousing keyboarding using space bar Typing and Mousing repetitive as Sourcing specialists.	nonsif
salt bucket lid.	nonsif
Planned work was being conducted at DAP plant.	nonsif
Crane was positioned within ft minimum clearance of center of track.	nonsif
Setting crane and attachements too close to rail track without track isolation authorization.	nonsif
